2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: Solving single objective optimization problem.
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 1, Current best: 520.8459288149331, Global best: 520.8459288149331, Runtime: 0.00949 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 2, Current best: 520.8459288149331, Global best: 520.8459288149331, Runtime: 0.00927 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 3, Current best: 520.5856074219581, Global best: 520.5856074219581, Runtime: 0.00960 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 4, Current best: 520.5856074219581, Global best: 520.5856074219581, Runtime: 0.00934 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 5, Current best: 520.5856074219581, Global best: 520.5856074219581, Runtime: 0.00947 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 6, Current best: 520.5856074219581, Global best: 520.5856074219581, Runtime: 0.00923 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 7, Current best: 520.5856074219581, Global best: 520.5856074219581, Runtime: 0.01105 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 8, Current best: 520.5856074219581, Global best: 520.5856074219581, Runtime: 0.00935 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 9, Current best: 520.5856074219581, Global best: 520.5856074219581, Runtime: 0.00935 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 10, Current best: 520.5856074219581, Global best: 520.5856074219581, Runtime: 0.00938 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 11, Current best: 520.5856074219581, Global best: 520.5856074219581, Runtime: 0.01036 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 12, Current best: 520.5856074219581, Global best: 520.5856074219581, Runtime: 0.00956 seconds
